orig_name	new_name
var_name	var_name
prediction	prediction
comment	comment
alarm	alarm
full_annot_name	full_annot_name
var_gen_coord	var_gen_coord
VARIANT_CLASS	variant_type
SYMBOL	Gene_symbol
HGVSc	HGVSc
HGVSp	HGVSp
genotype	genotype
variant_freq	variant_freq
coverage_depth	coverage_depth
tumor_genotype	tumor_genotype
tumor_variant_freq	tumor_variant_freq
tumor_depth	tumor_depth
normal_variant_freq	normal_variant_freq
normal_depth	normal_depth
callers	Called_by
EUR_AF	1000g_EUR_AF
gnomAD_NFE_AF	gnomAD_NFE
snpDB	snpDB
COSMIC	COSMIC
HGMD	HGMD
NHLBI_ESP	NHLBI_ESP
CLNSIG	clinvar_sig
CLNDN	clinvar_DBN
PolyPhen	PolyPhen
SIFT	SIFT
gene_region	gene_region
IMPACT	IMPACT
Consequence	Consequence
SOMATIC	SOMATIC
PHENO	PHENO
GENE_PHENO	GENE_PHENO
PUBMED	PUBMED
EXON	EXON
INTRON	INTRON
Feature	Feature
Feature_type	Feature_type
SOURCE	Annotation source
all_full_annot_name	all_full_annot_name
all_callers_info	all_callers_info
Gene	Gene
AF	AF
AFR_AF	AFR_AF
AMR_AF	AMR_AF
EAS_AF	EAS_AF
SAS_AF	SAS_AF
AA_AF	AA_AF
EA_AF	EA_AF
MAX_AF	MAX_AF
MAX_AF_POPS	MAX_AF_POPS
gnomAD_AF	gnomAD_AF
gnomAD_AFR_AF	gnomAD_AFR_AF
gnomAD_AMR_AF	gnomAD_AMR_AF
gnomAD_ASJ_AF	gnomAD_ASJ_AF
gnomAD_EAS_AF	gnomAD_EAS_AF
gnomAD_FIN_AF	gnomAD_FIN_AF
gnomAD_OTH_AF	gnomAD_OTH_AF
gnomAD_SAS_AF	gnomAD_SAS_AF
cDNA_position	cDNA_position
CDS_position	CDS_position
Protein_position	Protein_position
Amino_acids	Amino_acids
Codons	Codons
Existing_variation	Existing_variation
DISTANCE	DISTANCE
STRAND	STRAND
FLAGS	FLAGS
SYMBOL_SOURCE	SYMBOL_SOURCE
HGNC_ID	HGNC_ID
BIOTYPE	BIOTYPE
CANONICAL	CANONICAL
TSL	TSL
APPRIS	APPRIS
CCDS	CCDS
ENSP	ENSP
SWISSPROT	SWISSPROT
TREMBL	TREMBL
UNIPARC	UNIPARC
DOMAINS	DOMAINS
HGVS_OFFSET	HGVS_OFFSET
MOTIF_NAME	MOTIF_NAME
MOTIF_POS	MOTIF_POS
HIGH_INF_POS	HIGH_INF_POS
MOTIF_SCORE_CHANGE	MOTIF_SCORE_CHANGE
